run_uuid,func_name,energy_j,elapsed_ns
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,79934548.0,2727681454
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,68977790.0,2350140468
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,83631500.0,2851781796
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,80722694.0,2754481621
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,58574495.0,1987540030
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,58136692.0,1974325540
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,50653740.0,1711629874
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,81657078.0,2784676764
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,72426510.0,2465605152
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,66648633.0,2265800088
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,58383823.0,1982666759
de3a53b0-fcb1-4bfb-923f-2bbecc28e422,matmul_task,72162230.0,2458817869
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,76500720.0,2601781787
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,71783812.0,2439651295
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,79873879.0,2714150528
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,73884699.0,2513632116
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,79409221.0,2699186785
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,82578889.0,2806200668
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,74347527.0,2528353809
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,77981795.0,2649129110
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,76137135.0,2588919691
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,82012851.0,2788199350
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,77245956.0,2624926547
c3774595-8d5f-48c8-aa37-faaf51db717d,matmul_task,77246446.0,2625673151
4c3212a3-9b52-41bd-aa1b-d389477ed1d3,matmul_task,75418935.0,2596329739
