run_uuid,func_name,call_count,total_energy_j,total_elapsed_ns
c2fcf24b-aa28-4903-b4a2-1bfadca14a21,sieve_task,2,129556675.0,4613069579
57843cde-82f7-44c9-8e6f-8750dd302b6d,sieve_task,2,127878885.0,4619057880
a82dc382-8cb4-4e3a-8554-bb607468606b,sieve_task,2,111987018.0,4877088002
148311c0-208b-49c0-8020-17e65d38c105,sieve_task,2,117091254.0,4829510755
72b3af4a-17f2-484a-abc1-a1eaf7a30bc0,sieve_task,2,130988131.0,4418362763
75bbcbf7-e3e2-42e9-a690-4b1fd8b6acd9,sieve_task,2,122481436.0,4556033798
746affbd-ccb1-4015-9988-743446b4c158,sieve_task,2,107502228.0,5003476274
b82ed0c6-340f-4185-a0f5-e2ebd3a95631,sieve_task,2,119378783.0,4804315670
7dc6a6a2-cd0c-45b6-9801-605e34131afa,sieve_task,2,116160957.0,4692318376
e401fa38-f76a-45a9-8c8c-c36e987f6017,sieve_task,2,117296025.0,4769760584
bd59d249-c642-499a-9e01-3184772a158b,sieve_task,2,103778848.0,5055082186
4d15cfdb-7921-44d5-98dc-bba72f31a021,sieve_task,2,115548472.0,4626001344
3a62a772-3e45-4084-bdba-626781b92839,sieve_task,2,104183817.0,4978408356
1580f15a-b563-4813-8207-14cebd05a17f,sieve_task,2,133998924.0,4622664794
b40eafc5-2dbc-4746-93a9-0a685c17cb2d,sieve_task,2,102965864.0,5051916531
cb83a39a-3c39-4f62-bde6-538dabbee51d,sieve_task,2,120358945.0,4859461915
1e973f58-5ecb-471d-9405-3150fbfc8ed7,sieve_task,2,104235512.0,4888901274
00c091fd-3291-444e-9a66-c31a3fe2ea93,sieve_task,2,118870606.0,4858998464
05d7867e-f9aa-43f7-81d9-44b1a582dbd3,sieve_task,2,107660491.0,5113445697
ce493bed-0c50-4051-8426-99eff7ec35db,sieve_task,2,104032632.0,5053159223
047cca2b-5b61-4365-af3e-de124b30cf47,sieve_task,2,118140383.0,4767280256
73f59d35-7371-40ce-b9f8-b84fa649f92f,sieve_task,2,121460382.0,4676568607
077fd129-b825-419f-ae43-7a91983a818b,sieve_task,2,108530117.0,4882319115
3b1719d3-d66d-4197-9637-e1beed9c23ed,sieve_task,2,111480122.0,4993701371
91c527a4-94a9-40ca-8f85-628e32aa8f55,sieve_task,2,118533022.0,4783702610
1935924e-b930-4f61-85d2-132de680037e,sieve_task,2,110045678.0,4863267680
ba1e9cb9-7ab3-4471-be0c-0c4a3192991d,sieve_task,2,116556707.0,4869098729
8cbdbb29-40fd-4298-b407-93d85f703e0d,sieve_task,2,103926675.0,5035796702
700b8f3c-d41c-4ceb-abe5-97c782034aaf,sieve_task,2,96113098.0,5189974640
0dd2b922-964b-4626-9223-8a39799b802e,sieve_task,2,102340559.0,5009046996
7e7053b2-6911-4e26-9b36-040b812f977c,sieve_task,2,118331667.0,4827708507
704fd11f-c9f1-489f-a231-90b3a86d0afd,sieve_task,2,133332789.0,4626480565
9a092cf8-7f25-4f6a-b044-2b126492576b,sieve_task,2,117815494.0,4871348794
1b77318a-aa31-4dff-837b-d5020f5002b9,sieve_task,2,112066853.0,4999613663
699f67cf-dca9-4bea-9ad5-d85a3dabb97e,sieve_task,2,107840667.0,4779591382
6872359b-9587-4240-96b0-41e4bb5c73b0,sieve_task,2,97428218.0,5284357494
da47bdb0-f722-4154-b124-171229a63463,sieve_task,2,118272219.0,4904270255
0c49d9d6-fa6c-4c40-8f32-7fd1be7064c1,sieve_task,2,105815280.0,4979306816
0d7e0b5c-8e4c-46c5-aef5-003c2553e2b1,sieve_task,2,102706951.0,4942972296
0ff40942-cd5c-4ae0-aba5-1a08a76da2bd,sieve_task,2,116685187.0,4739526405
9ff46624-eb37-48ea-b142-29b003f5aa23,sieve_task,2,105655187.0,5162024307
4800e056-c8b8-4cc2-b835-94590768f55e,sieve_task,2,110723593.0,4962914961
4b50a4de-5bff-4d84-a84b-e4c8cd4f9158,sieve_task,2,133509362.0,4619857889
74c6047d-4083-4e93-a14e-a9461db0d7f5,sieve_task,2,103253826.0,4909452825
cf7a93ce-f260-49e3-a003-467fca528615,sieve_task,2,98715018.0,5399433066
