run_uuid,func_name,call_count,total_energy_j,total_elapsed_ns
4688c504-525d-45d6-badb-232684df6e5e,write_chunk,2,2176937.0,231602842
10483c32-3fe2-460e-8253-4344aa698c45,write_chunk,2,2174250.0,235585698
eb53e1a7-567a-4d79-a4fa-da842445f6da,write_chunk,2,2228754.0,224834739
946b1ac7-6d65-4cad-bad6-d58b72e0d223,write_chunk,2,2266170.0,225949017
8322c5c5-afbe-49be-a1ba-1108090c32a2,write_chunk,2,2221796.0,219671734
81ca400c-172a-44ad-a92f-e87ca30f2d3f,write_chunk,2,2291132.0,225166533
bdf174b8-1e9e-4281-afec-ecd9aadca451,write_chunk,2,2419121.0,228994800
66329c94-c01a-4ef4-a367-2aa08ff717e8,write_chunk,2,2141352.0,228658523
72f2d296-7492-4989-8065-e5cbbcb9eaeb,write_chunk,2,2409051.0,242678716
6302f11f-3df6-4b6e-b501-72001d3db010,write_chunk,2,2404413.0,224420056
4fb91ffb-32f4-41ce-924e-dafc0db3c7b4,write_chunk,2,2242853.0,227126640
3180a3ab-058d-49a5-8ea4-b094cab8c330,write_chunk,2,2262995.0,221583631
a051819a-e2be-4c2c-8840-ab43e3283ccb,write_chunk,2,2362664.0,229985566
044cd7c4-c77e-4866-a55d-dacfea5a9b22,write_chunk,2,2222225.0,225683548
bd127195-a416-4da9-a5a8-c7264b04bbe6,write_chunk,2,2147700.0,221856174
511849cb-e1ba-408c-bba7-aea8d36bc96b,write_chunk,2,2218927.0,248926110
31af5d3e-d404-4b08-9514-b6740862f575,write_chunk,2,2271784.0,229724605
00e717b0-794d-4747-86cb-b509232b9ec5,write_chunk,2,2363519.0,227200756
0a8d4f2d-3634-4d6f-933e-42d233ee8e6b,write_chunk,2,2220453.0,222260724
c97d1ff6-8bb2-42b8-916b-ff2d04c30dd6,write_chunk,2,2199703.0,222087002
f8dd9194-6a15-4382-bd3e-c5179893f3d8,write_chunk,2,2220637.0,227837266
2555f755-a21f-45d0-8fac-200aa747c9e9,write_chunk,2,2207695.0,226763483
5351f2dd-3264-4d23-a91d-f0e14304c845,write_chunk,2,2345089.0,231487568
68ed0485-1870-40cb-9302-0c5da2c60b95,write_chunk,2,2385004.0,250965207
eace246d-e42f-4923-b39d-5ad505e4b801,write_chunk,2,2439019.0,229491889
4dc2df54-16d6-44bf-ac8d-bf18ed4c2924,write_chunk,2,2463312.0,232926864
3e7e72d5-d8a7-4a4e-95ea-83552a75c7c6,write_chunk,2,2309810.0,226105776
7467581d-6b7c-4845-939c-8e1c07898ddf,write_chunk,2,2370599.0,232126406
1b0f3a96-ed42-45f5-b04c-5ccf156d41e4,write_chunk,2,2564996.0,268393042
758721de-8a7a-4df7-95ee-805a8f6c0d0d,write_chunk,2,2741385.0,301162223
a2c4fd3a-1d5a-405b-b589-c436af90cf16,write_chunk,2,2420830.0,263361646
bf1c6aca-2635-4588-9ca6-3daeaaa51794,write_chunk,2,2365593.0,238788189
01c16ed4-0f80-4363-a6cf-730e8db81f33,write_chunk,2,2322382.0,237663075
