energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta
230593770.0,10514200032,10.539999999999964,0.05000000000000071,0.37000000000000455,115.77999999999884,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,188416,571,113,1028,1,0,0,1
226151459.0,10515932245,10.519999999999982,0.0,0.32999999999992724,115.38999999999942,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0,575,113,1028,1,0,0,0
223688758.0,10516429146,10.5300000000002,0.0,0.3100000000000591,115.40999999999622,0.0,0.0,0.0,0.0,0.0,0.0,0,571,108,1028,1,19000,0,0
235482978.0,10515652194,10.550000000000182,0.04999999999999716,0.36000000000001364,115.88999999999942,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,0,590,119,1028,1,0,0,1
235026803.0,10515341671,10.5,0.0,0.2899999999999636,115.4800000000032,0.0,0.0,0.0,0.0,0.0,0.0,0,590,119,1028,1,21000,0,0
234812022.0,10514960205,10.5300000000002,0.0,0.30999999999994543,115.47000000000116,0.0,0.0,0.0,0.0,0.0,0.0,0,583,110,1028,1,0,0,0
219054493.0,10516015161,10.550000000000182,0.060000000000002274,0.39999999999997726,115.66000000000349,0.04999999999999716,0.0,0.0,0.0,0.0,0.0,0,573,111,1028,1,20000,0,1
215854793.0,10513143372,10.529999999999745,0.0,0.36000000000001364,115.30000000000291,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,131072,560,121,1028,1,0,0,0
214468445.0,10515632156,10.550000000000182,0.0,0.2900000000000773,115.38999999999942,0.0,0.0,0.0,0.0,0.0,0.0,0,579,119,1028,1,19000,0,0
236025092.0,10515545687,10.559999999999945,0.05999999999999872,0.37999999999999545,115.73999999999796,0.05999999999998806,0.0,0.0,0.0,0.0,0.0,0,565,133,1028,1,0,0,1
234711618.0,10515339158,10.519999999999982,0.0,0.25,115.5199999999968,0.01999999999999602,0.0,0.0,0.0,0.0,0.0,0,578,127,1028,1,21000,0,0
233096266.0,10513873613,10.5,0.0,0.2899999999999636,115.45000000000437,0.009999999999990905,0.0,0.0,0.0,0.0,0.0,0,573,118,1028,1,0,0,1
228923913.0,10515855287,10.539999999999964,0.060000000000002274,0.34000000000003183,115.70999999999913,0.04999999999999716,0.0,0.0,0.0,0.0,0.0,0,426,426,1028,1,20000,0,0
225683566.0,10516749647,10.519999999999982,0.0,0.30999999999994543,115.41000000000349,0.0,0.0,0.0,0.0,0.0,0.0,0,323,674,1028,1,0,0,0
225238437.0,10515272487,10.490000000000236,0.0,0.34000000000003183,115.40000000000146,0.0,0.0,0.0,0.0,0.0,0.0,0,450,269,1028,1,0,0,1
235471809.0,10515258851,10.550000000000182,0.07000000000000028,0.35000000000002274,115.84999999999854,0.060000000000002274,0.0,0.010000000000000675,0.0,0.0,0.0,0,599,112,1028,1,22000,0,0
234346935.0,10515444551,10.5,0.0,0.2999999999999545,115.5,0.0,0.0,0.0,0.0,0.0,0.0,0,614,106,1028,1,0,0,0
234221751.0,10515039027,10.5,0.0,0.2999999999999545,115.5,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,131072,597,106,1028,1,20000,0,1
233172682.0,10515491147,10.539999999999964,0.060000000000002274,0.37000000000000455,115.67000000000553,0.12000000000000455,0.0,0.0,0.0,0.0,0.0,0,472,216,1028,1,0,0,1
236669376.0,10515705907,10.519999999999982,0.00999999999999801,0.3100000000000591,115.44000000000233,0.0,0.0,0.0,0.0,0.0,0.0,0,561,115,1028,1,21000,0,0
237075015.0,10515724049,10.519999999999982,0.0,0.34999999999990905,115.36999999999534,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0,562,99,1028,1,0,0,0
238185120.0,10515421864,10.539999999999964,0.060000000000002274,0.38999999999998636,115.76000000000204,0.07000000000000739,0.0,0.0,0.0,0.0,0.0,0,570,115,1028,1,22000,0,1
234033337.0,10515455515,10.519999999999982,0.0,0.2900000000000773,115.43000000000029,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0,570,111,1028,1,0,0,0
234508068.0,10516906370,10.510000000000218,0.0,0.30999999999994543,115.44000000000233,0.0,0.0,0.0,0.0,0.0,0.0,0,559,109,1028,1,21000,0,0
223452552.0,10516184889,10.539999999999964,0.05999999999999872,0.36000000000001364,115.69000000000233,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,0,463,254,1028,1,0,0,1
218784046.0,10516208005,10.510000000000218,0.0,0.2699999999999818,115.30999999999767,0.0,0.0,0.0,0.0,0.0,0.0,0,439,487,1028,1,20000,0,0
222065532.0,10517639169,10.860000000000127,0.010000000000001563,0.7900000000000773,114.48999999999796,0.04000000000000625,0.0,0.0,0.0,0.0,0.0,0,472,260,1028,1,0,4,1
204506067.0,10514487288,10.519999999999982,0.07000000000000028,0.32999999999992724,115.79999999999563,0.04999999999999716,0.0,0.0,0.0,0.0,0.0,131072,572,107,1028,1,0,0,1
202498139.0,10516303942,10.519999999999982,0.0,0.32000000000005,115.40999999999622,0.0,0.0,0.0,0.0,0.0,0.0,0,570,118,1028,1,19000,0,0
202259065.0,10515901127,10.5,0.0,0.3300000000000409,115.3900000000067,0.030000000000001137,0.0,0.009999999999999787,0.0,0.0,0.0,0,572,108,1028,1,0,0,0
233208509.0,10514065918,10.509999999999764,0.0,0.2900000000000773,115.93000000000029,0.04999999999999716,0.0,0.0,0.0,0.0,0.0,0,585,120,1028,1,0,0,0
234357371.0,10514880806,10.5,0.0,0.2599999999999909,115.5399999999936,0.0,0.0,0.0,0.0,0.0,0.0,131072,576,101,1028,1,0,0,0
234363535.0,10515182737,10.470000000000255,0.0,0.25,115.55999999999767,0.0,0.0,0.0,0.0,0.0,0.0,0,577,103,1028,1,19000,0,0
242043692.0,10515444250,10.509999999999764,0.21000000000000085,0.36000000000001364,115.73999999999796,0.09999999999999432,0.0,0.0,0.0,0.0,0.0,0,564,119,1028,1,0,0,3
223145485.0,10515164179,10.509999999999764,0.0,0.2899999999999636,115.42000000000553,0.0,0.0,0.0,0.0,0.0,0.0,0,476,200,1028,1,21000,0,0
222302349.0,10515992272,10.510000000000218,0.0,0.2999999999999545,115.45999999999913,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0,430,186,1028,1,0,0,0
186378613.0,10515950181,10.509999999999764,0.2099999999999973,0.34000000000003183,115.65999999999622,0.07000000000000739,0.0,0.0,0.0,0.0,0.0,0,570,111,1028,1,19000,0,2
184946671.0,10515078875,10.5300000000002,0.0,0.3300000000000409,115.38999999999942,0.030000000000001137,0.0,0.009999999999999787,0.0,0.0,0.0,0,572,106,1028,1,0,0,1
184564408.0,10515807294,10.509999999999764,0.0,0.33999999999991815,115.43000000000029,0.0,0.0,0.0,0.0,0.0,0.0,0,580,111,1028,1,19000,0,0
231445270.0,10515791085,10.519999999999982,0.22000000000000242,0.34000000000003183,115.61000000000058,0.06999999999999318,0.0,0.0,0.0,0.0,0.0,131072,439,300,1028,1,0,0,2
185525526.0,10514616212,10.509999999999764,0.0,0.35000000000002274,115.25999999999476,0.01999999999999602,0.0,0.0,0.0,0.0,0.0,0,556,114,1028,1,19000,0,0
183400104.0,10515649999,10.519999999999982,0.0,0.32999999999992724,115.40999999999622,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0,569,108,1028,1,0,0,0
237652895.0,10515017403,10.510000000000218,0.1999999999999993,0.3300000000000409,115.25,0.020000000000010232,0.0,0.0,0.0,0.0,0.0,0,583,113,1028,1,19000,0,2
235220528.0,10515027944,10.5,0.0,0.2899999999999636,115.37999999999738,0.009999999999990905,0.0,0.009999999999999787,0.0,0.0,0.0,0,559,113,1028,1,0,0,0
236019293.0,10514513450,10.510000000000218,0.0,0.2799999999999727,115.48999999999796,0.0,0.0,0.0,0.0,0.0,0.0,0,578,105,1028,1,0,0,0
183108174.0,10516763657,10.539999999999964,0.22000000000000242,0.40999999999996817,115.50999999999476,0.06999999999999318,0.0,0.0,0.0,0.0,0.0,131072,568,124,1028,1,20000,0,3
181672936.0,10515547189,10.490000000000236,0.0,0.34000000000003183,115.44999999999709,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0,577,108,1028,1,0,0,0
181079065.0,10515740591,10.509999999999764,0.0,0.3300000000000409,115.42000000000553,0.0,0.0,0.0,0.0,0.0,0.0,0,573,109,1028,1,18000,0,0
204514552.0,10515493280,10.519999999999982,0.23000000000000043,0.2899999999999636,115.61000000000058,0.09000000000000341,0.0,0.0,0.0,0.0,0.0,0,560,118,1028,1,0,0,2
202522370.0,10515379207,10.489999999999782,0.0,0.3100000000000591,115.40000000000146,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0,576,112,1028,1,18000,0,0
202979949.0,10516403447,10.510000000000218,0.0,0.35000000000002274,115.38999999999942,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0,571,103,1028,1,0,0,0
238803100.0,10515317495,10.519999999999982,0.1999999999999993,0.38999999999998636,115.59999999999854,0.07000000000000739,0.0,0.0,0.0,0.0,0.0,0,583,132,1028,1,19000,0,2
239017699.0,10515083399,10.480000000000018,0.0,0.3300000000000409,115.48999999999796,0.0,0.0,0.0,0.0,0.0,0.0,0,572,113,1028,1,0,0,0
239229063.0,10514955147,10.509999999999764,0.0,0.2999999999999545,115.49000000000524,0.0,0.0,0.010000000000000675,0.0,0.0,0.0,0,565,96,1028,1,21000,0,0
180669033.0,10516273362,10.5300000000002,0.21999999999999886,0.39999999999997726,115.54000000000087,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,0,569,123,1028,1,0,0,3
230441365.0,10516571789,10.510000000000218,0.0,0.32000000000005,115.34999999999854,0.010000000000005116,0.0,0.0,0.0,0.0,0.0,0,557,99,1028,1,20000,0,0
230539632.0,10516427925,10.519999999999982,0.0,0.35000000000002274,115.37999999999738,0.0,0.0,0.0,0.0,0.0,0.0,0,562,101,1028,1,0,0,0
179308806.0,10515197135,10.5300000000002,0.23000000000000043,0.37999999999999545,115.54999999999563,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,131072,567,112,1028,1,19000,0,2
178442964.0,10516542169,10.519999999999982,0.0,0.34000000000003183,115.41999999999825,0.009999999999990905,0.0,0.009999999999999787,0.0,0.0,0.0,0,566,108,1028,1,0,0,0
204869287.0,10516525509,10.519999999999982,0.0,0.2899999999999636,115.43000000000029,0.009999999999990905,0.0,0.0,0.0,0.0,0.0,0,568,109,1028,1,0,0,0
