energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,rapl_J
202498139.0,10516303942,10.519999999999982,0.0,0.32000000000005,115.40999999999622,0.0,0.0,0.0,0.0,0.0,0.0,0,570,118,1028,1,19000,0,0,202498139.0
202259065.0,10515901127,10.5,0.0,0.3300000000000409,115.3900000000067,0.0300000000000011,0.0,0.0099999999999997,0.0,0.0,0.0,0,572,108,1028,1,0,0,0,202259065.0
233208509.0,10514065918,10.509999999999764,0.0,0.2900000000000773,115.93000000000028,0.0499999999999971,0.0,0.0,0.0,0.0,0.0,0,585,120,1028,1,0,0,0,233208509.0
234357371.0,10514880806,10.5,0.0,0.2599999999999909,115.5399999999936,0.0,0.0,0.0,0.0,0.0,0.0,131072,576,101,1028,1,0,0,0,234357371.0
234363535.0,10515182737,10.470000000000256,0.0,0.25,115.55999999999769,0.0,0.0,0.0,0.0,0.0,0.0,0,577,103,1028,1,19000,0,0,234363535.0
242043692.0,10515444250,10.509999999999764,0.2100000000000008,0.3600000000000136,115.73999999999796,0.0999999999999943,0.0,0.0,0.0,0.0,0.0,0,564,119,1028,1,0,0,3,242043692.0
223145485.0,10515164179,10.509999999999764,0.0,0.2899999999999636,115.42000000000552,0.0,0.0,0.0,0.0,0.0,0.0,0,476,200,1028,1,21000,0,0,223145485.0
222302349.0,10515992272,10.510000000000218,0.0,0.2999999999999545,115.45999999999913,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,430,186,1028,1,0,0,0,222302349.0
186378613.0,10515950181,10.509999999999764,0.2099999999999973,0.3400000000000318,115.65999999999622,0.0700000000000073,0.0,0.0,0.0,0.0,0.0,0,570,111,1028,1,19000,0,2,186378613.0
184946671.0,10515078875,10.5300000000002,0.0,0.3300000000000409,115.38999999999942,0.0300000000000011,0.0,0.0099999999999997,0.0,0.0,0.0,0,572,106,1028,1,0,0,1,184946671.0
184564408.0,10515807294,10.509999999999764,0.0,0.3399999999999181,115.43000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0,580,111,1028,1,19000,0,0,184564408.0
