energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,rapl_J
21565253.0,10099580726,0.1600000000003092,0.0700000000000002,0.3100000000000591,121.30000000000292,0.0699999999999931,0.0,0.0100000000000015,0.0,0.0,0.0,0,522,0,428,1,0,0,2,21565253.0
17388079.0,10080621306,0.1199999999998908,0.009999999999998,0.2899999999999636,120.63999999999942,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,290,0,428,1,0,0,0,17388079.0
17640579.0,10098260094,0.1100000000001273,0.0,0.2599999999999909,120.91999999999824,0.0,0.0,0.0,0.0,0.0,0.0,0,522,1,428,1,7000,0,0,17640579.0
21631780.0,10099637632,0.1399999999998726,0.0599999999999951,0.32000000000005,121.30000000000292,0.0900000000000034,0.0,0.0099999999999997,0.0,0.0,0.0,0,522,0,428,1,0,0,1,21631780.0
19776011.0,10098555892,0.1600000000003092,0.0,0.2899999999999636,120.81999999999243,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,8000,0,0,19776011.0
19556957.0,10097524728,0.1399999999998726,0.0,0.2899999999999636,120.80000000000292,0.0100000000000051,0.0,0.0099999999999997,0.0,0.0,0.0,0,521,0,428,1,0,0,0,19556957.0
22682193.0,10097115922,0.1599999999998544,0.0600000000000022,0.3300000000000409,121.1200000000099,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,0,521,0,428,1,6000,0,1,22682193.0
18769055.0,10100208624,0.1300000000001091,0.0,0.2799999999999727,120.88999999999942,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,521,0,428,1,0,0,0,18769055.0
18954541.0,10099271074,0.1599999999998544,0.0,0.2799999999999727,120.80999999999769,0.019999999999996,0.0,0.0099999999999997,0.0,0.0,0.0,0,521,0,428,1,7000,0,0,18954541.0
21880987.0,10094757088,0.1599999999998544,0.0600000000000022,0.3400000000000318,121.11000000000058,0.0700000000000073,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,0,0,2,21880987.0
16784503.0,10082200228,0.1200000000003456,0.0,0.2300000000000182,120.69999999999708,0.0,0.0,0.0,0.0,0.0,0.0,0,313,0,428,1,0,0,0,16784503.0
17883133.0,10067756105,0.1099999999996725,0.009999999999998,0.2899999999999636,120.47000000000116,0.0099999999999909,0.0,0.0099999999999997,0.0,0.0,0.0,0,118,2,428,1,7000,0,0,17883133.0
20755195.0,10081818480,0.1300000000001091,0.0599999999999951,0.3299999999999272,120.97999999999593,0.0700000000000073,0.0,0.0099999999999997,0.0,0.0,0.0,0,322,0,428,1,0,0,1,20755195.0
16788165.0,10069772600,0.099999999999909,0.0,0.2599999999999909,120.54999999998836,0.0,0.0,0.0099999999999997,0.0,0.0,0.0,0,118,2,428,1,7000,0,0,16788165.0
17410173.0,10072524442,0.1199999999998908,0.0,0.2799999999999727,120.5399999999936,0.0,0.0,0.0,0.0,0.0,0.0,0,162,0,428,1,0,0,0,17410173.0
21308295.0,10098451873,0.1400000000003274,0.0600000000000022,0.3299999999999272,120.74000000000524,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,502,0,428,1,6000,0,1,21308295.0
19001050.0,10097605237,0.1500000000000909,0.0,0.3100000000000591,120.82000000000698,0.0099999999999909,0.0,0.0099999999999997,0.0,0.0,0.0,0,521,0,428,1,0,0,0,19001050.0
17554888.0,10068221735,0.1199999999998908,0.009999999999998,0.2899999999999636,120.50999999999476,0.0,0.0,0.0100000000000015,0.0,0.0,0.0,0,148,1,428,1,7000,0,0,17554888.0
21809514.0,10098768794,0.1500000000000909,0.0600000000000022,0.2999999999999545,121.18000000000757,0.0499999999999971,0.0,0.0099999999999997,0.0,0.0,0.0,0,522,0,428,1,0,0,1,21809514.0
18360794.0,10097639724,0.1200000000003456,0.0,0.2799999999999727,120.88000000000466,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,0,0,0,18360794.0
18279250.0,10099774764,0.1299999999996544,0.009999999999998,0.2899999999999636,120.88000000000466,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,7000,0,0,18279250.0
22019414.0,10098848087,0.1500000000000909,0.0599999999999951,0.3600000000000136,121.22999999999593,0.0899999999999892,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,0,0,1,22019414.0
18464736.0,10097780221,0.1399999999998726,0.0,0.25,120.83999999999652,0.0200000000000102,0.0,0.0099999999999997,0.0,0.0,0.0,0,522,0,428,1,6000,0,0,18464736.0
19275829.0,10097794390,0.1300000000001091,0.0,0.2899999999999636,120.83000000000176,0.0,0.0,0.0,0.0,0.0,0.0,0,521,0,428,1,0,0,0,19275829.0
21656133.0,10088367608,0.1700000000000727,0.0600000000000022,0.3399999999999181,121.0399999999936,0.0700000000000073,0.0,0.0099999999999997,0.0,0.0,0.0,0,400,1,428,1,7000,0,1,21656133.0
17539811.0,10099282129,0.1199999999998908,0.009999999999998,0.2599999999999909,120.89999999999418,0.019999999999996,0.0,0.0,0.0,0.0,0.0,0,520,0,428,1,0,0,0,17539811.0
18331619.0,10099037190,0.1100000000001273,0.0,0.2999999999999545,120.86999999999534,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,7000,0,0,18331619.0
21534430.0,10091713756,0.1400000000003274,0.0600000000000022,0.3299999999999272,121.08000000000176,0.0700000000000073,0.0,0.0099999999999997,0.0,0.0,0.0,0,499,0,428,1,0,0,1,21534430.0
17894730.0,10098145647,0.1199999999998908,0.0,0.25,120.90000000000872,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,0,0,0,17894730.0
18417554.0,10097340093,0.099999999999909,0.0,0.2799999999999727,120.86000000000058,0.0100000000000051,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,6000,0,0,18417554.0
22017583.0,10095275852,0.1500000000000909,0.0599999999999951,0.3700000000000045,121.11000000000058,0.0699999999999931,0.0,0.0099999999999997,0.0,0.0,0.0,0,521,0,428,1,0,0,0,22017583.0
17748673.0,10098475399,0.1100000000001273,0.0,0.2400000000000091,120.91999999999824,0.0,0.0,0.0,0.0,0.0,0.0,0,522,0,428,1,7000,0,0,17748673.0
18359267.0,10097969737,0.1300000000001091,0.0,0.2900000000000773,120.83999999999652,0.019999999999996,0.0,0.0099999999999997,0.0,0.0,0.0,0,522,0,428,1,0,0,0,18359267.0
20790229.0,10074185252,0.1399999999998726,0.0700000000000002,0.3600000000000136,120.84999999999128,0.059999999999988,0.0,0.0,0.0,0.0,0.0,0,217,4,428,1,7000,0,0,20790229.0
16485004.0,10079997937,0.1100000000001273,0.0,0.25,120.70999999999184,0.0,0.0,0.0,0.0,0.0,0.0,0,219,0,428,1,0,0,0,16485004.0
17954970.0,10098540584,0.099999999999909,0.0,0.2900000000000773,120.88999999999942,0.0,0.0,0.0,0.0,0.0,0.0,0,521,0,428,1,6000,0,0,17954970.0
