energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,elapsed_s,net_uAh,rapl_J,vol_cs
320636875.0,16570709406,16.890000000000327,0.0700000000000073,0.4600000000000364,181.23000000001048,0.1500000000000341,0.0,0.0700000000000002,0.0,0.0,0.0,1835008,39,0,4028,1,0,0,2,16.570709406,-4422.744721384277,320636875.0,39
316383895.0,15877746148,15.909999999999854,0.0,0.1299999999998817,174.55000000001746,0.0300000000000295,0.0,0.0,0.0,0.0,0.0,393216,42,0,4028,1,18000,0,1,15.877746148,13762.208108113959,316383895.0,42
317250774.0,16023944646,15.900000000000546,0.0,0.1500000000000909,176.1700000000128,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,393216,25,0,4028,1,18000,0,1,16.023944646,13723.187531537456,317250774.0,25
317301373.0,15875894504,15.720000000000256,0.2300000000000039,0.1800000000000636,174.82000000000698,0.1100000000000136,0.0,0.009999999999998,0.0,0.0,0.0,2097152,18,0,4028,1,0,0,2,15.875894504,-4237.297685601551,317301373.0,18
318871437.0,16200052314,16.039999999999964,0.0,0.1099999999998999,178.27999999999884,0.0200000000000386,0.0,0.0,0.0,0.0,0.0,393216,36,1,4028,1,18000,0,1,16.200052314,13676.184157091684,318871437.0,36
311293149.0,16367633311,16.210000000000036,0.0,0.1500000000000909,179.95000000001164,0.0399999999999636,0.0,0.0100000000000051,0.0,0.0,0.0,0,38,0,4028,1,18000,0,0,16.367633311,13631.456562652204,311293149.0,38
315284471.0,16114173339,15.94000000000051,0.2000000000000028,0.1800000000000636,177.44999999998254,0.0699999999999931,0.0,0.0,0.0,0.0,0.0,1966080,36,0,4028,1,0,0,2,16.114173339,-4300.894628489963,315284471.0,36
316625349.0,16061281470,16.099999999999454,0.0,0.1399999999998726,176.42999999999302,0.0299999999999727,0.0,0.009999999999998,0.0,0.0,0.0,393216,38,0,4028,1,18000,0,1,16.06128147,13713.222282783565,316625349.0,38
309662721.0,16549486350,16.470000000000255,0.0,0.1500000000000909,181.85999999998603,0.0299999999999727,0.0,0.009999999999998,0.0,0.0,0.0,0,35,0,4028,1,19000,0,0,16.54948635,14582.919740926653,309662721.0,35
318643411.0,15914210073,15.799999999999272,0.2199999999999988,0.1600000000000818,175.36999999999534,0.1000000000000227,0.0,0.0,0.0,0.0,0.0,2097152,40,0,4028,1,18000,0,3,15.914210073,13752.475837282132,318643411.0,40
314513049.0,16002712743,15.920000000000073,0.0,0.1100000000001273,175.9200000000128,0.0,0.0,0.0100000000000051,0.0,0.0,0.0,262144,21,0,4028,1,0,0,0,16.002712743,-4271.145644875366,314513049.0,21
314248646.0,16287624368,16.230000000000473,0.0,0.1399999999998726,178.92999999999302,0.0400000000000204,0.0,0.0,0.0,0.0,0.0,131072,35,0,4028,1,18000,0,1,16.287624368,13652.811057601506,314248646.0,35
