energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta
320636875.0,16570709406,16.890000000000327,0.07000000000000739,0.4600000000000364,181.23000000001048,0.1500000000000341,0.0,0.07000000000000028,0.0,0.0,0.0,1835008,39,0,4028,1,0,0,2
316383895.0,15877746148,15.909999999999854,0.0,0.12999999999988177,174.55000000001746,0.03000000000002956,0.0,0.0,0.0,0.0,0.0,393216,42,0,4028,1,18000,0,1
317250774.0,16023944646,15.900000000000546,0.0,0.15000000000009095,176.1700000000128,0.01999999999998181,0.0,0.0,0.0,0.0,0.0,393216,25,0,4028,1,18000,0,1
317301373.0,15875894504,15.720000000000255,0.23000000000000398,0.18000000000006366,174.82000000000698,0.11000000000001364,0.0,0.00999999999999801,0.0,0.0,0.0,2097152,18,0,4028,1,0,0,2
318871437.0,16200052314,16.039999999999964,0.0,0.10999999999989996,178.27999999999884,0.020000000000038654,0.0,0.0,0.0,0.0,0.0,393216,36,1,4028,1,18000,0,1
311293149.0,16367633311,16.210000000000036,0.0,0.15000000000009095,179.95000000001164,0.03999999999996362,0.0,0.010000000000005116,0.0,0.0,0.0,0,38,0,4028,1,18000,0,0
315284471.0,16114173339,15.94000000000051,0.20000000000000284,0.18000000000006366,177.44999999998254,0.06999999999999318,0.0,0.0,0.0,0.0,0.0,1966080,36,0,4028,1,0,0,2
316625349.0,16061281470,16.099999999999454,0.0,0.13999999999987267,176.42999999999302,0.029999999999972715,0.0,0.00999999999999801,0.0,0.0,0.0,393216,38,0,4028,1,18000,0,1
309662721.0,16549486350,16.470000000000255,0.0,0.15000000000009095,181.85999999998603,0.029999999999972715,0.0,0.00999999999999801,0.0,0.0,0.0,0,35,0,4028,1,19000,0,0
318643411.0,15914210073,15.799999999999272,0.21999999999999886,0.16000000000008185,175.36999999999534,0.10000000000002274,0.0,0.0,0.0,0.0,0.0,2097152,40,0,4028,1,18000,0,3
