run_uuid,func_name,energy_j,elapsed_ns
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,59082.0,8270381
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,52734.0,8375458
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,46996.0,6763011
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,57740.0,9195834
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,42786.0,5528456
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,41016.0,6802970
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,54870.0,9131394
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,57555.0,6465085
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,58837.0,6996104
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,94909.0,7784030
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,47851.0,8760473
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,58044.0,8670160
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,51452.0,8276631
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,64391.0,8524889
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,54871.0,6953670
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,56579.0,6630448
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,68907.0,7908070
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,63110.0,8112551
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,65674.0,6994497
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,61401.0,8927815
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,73058.0,7616658
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,59143.0,9830320
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,50965.0,8505365
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,70678.0,11949870
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,68053.0,8445908
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,53834.0,6938915
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,51820.0,8329595
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,52795.0,8285122
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,98937.0,8059944
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,69335.0,8050781
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,46204.0,6261353
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,85937.0,12999373
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,57495.0,7209527
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,55176.0,7259333
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,45227.0,6897212
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,60424.0,8905983
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,80078.0,8410409
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,63720.0,8443314
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,76110.0,8426550
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,94300.0,7993848
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,57495.0,7816432
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,93690.0,8290225
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,60486.0,8985344
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,56824.0,8160165
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,62989.0,8013236
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,108275.0,9453516
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,93262.0,8525623
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,62194.0,7403301
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,50538.0,8412008
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,48340.0,8667011
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,59753.0,8121860
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,63964.0,6667129
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,64758.0,7948982
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,66527.0,8466855
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,59571.0,8297737
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,86182.0,7559050
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,82884.0,6693132
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,99548.0,9094603
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,44189.0,6274534
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,52917.0,6962218
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,89478.0,7716568
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,95032.0,7780772
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,46325.0,8642812
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,54931.0,7022046
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,66711.0,7899580
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,71899.0,9162917
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,59631.0,9457184
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,53589.0,8014290
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,51942.0,8456955
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,50231.0,8601928
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,51452.0,8502823
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,79835.0,8807346
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,66527.0,8743199
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,58654.0,7984700
e9f24718-9438-442d-b44f-59206b0b100b,write_chunk,90209.0,8221679
