run_uuid,func_name,energy_j,elapsed_ns
4d2de494-e8e1-4853-a335-87fec38db682,_run_async,0.0,1617
a7863f06-4a85-435a-98be-8a152bfabfb6,_run_async,0.0,1459
3e25bc19-3e1a-4aae-9ae6-971cee0b8473,_run_async,0.0,1324
937d8b4d-159e-465d-ace4-06b3615eaa65,_run_async,0.0,1438
e3b7270a-25ca-42da-854f-990568617ee9,_run_async,0.0,1535
2991fc95-0143-4d4d-8c8e-30b1ba2ebf7a,_run_async,0.0,1700
cafafa67-8411-4312-b62b-2192e518df4a,_run_async,16663.0,1349
b544bb00-9426-4f7d-9f5b-a0e0a8e0240b,_run_async,0.0,1776
5e5d6db6-1edd-48e9-8e2d-860d25330963,_run_async,0.0,1507
2817bb61-cddb-4644-9a00-eb547e4015c2,_run_async,0.0,1338
c9ce932e-f8e2-4acc-8653-7af41134eff4,_run_async,0.0,1710
101d7f68-25a8-41ac-a845-bae01386ff4b,_run_async,0.0,1549
f9506551-93ef-43f6-bc2e-1c27a09ee122,_run_async,16236.0,1354
0ad142f6-0466-42e5-b361-06d84632d008,_run_async,0.0,1507
0d99197d-a5f3-4067-be92-4b1c1bdc4a7f,_run_async,14465.0,1529
1e0992ad-50e3-4d64-b375-2e86675c0ca3,_run_async,0.0,1473
d01c2919-c9d6-4a23-b780-d0c216382e7a,_run_async,0.0,1450
ae4c47ad-3190-422e-9ad1-5aad631b9c2a,_run_async,0.0,1581
57370681-fc8f-48a1-b424-199ee54609d1,_run_async,0.0,1661
fde23906-7c29-4635-bc15-4a8a2f0cf88d,_run_async,0.0,1522
0edbc73c-2984-49f7-bc2b-e543cadabe84,_run_async,0.0,1547
44289261-69ae-4ba9-81ce-a50412f87783,_run_async,0.0,1509
a1c55571-94c2-425b-977d-0f6957c4d137,_run_async,15260.0,1821
122c6bf4-70af-4cfc-ae32-7d9c520c56a7,_run_async,0.0,1628
