run_uuid,func_name,call_count,total_energy_j,total_elapsed_ns
33f43a9f-ea16-46d7-8cfb-a2aa9cf25f5a,write_chunk,2,2035334.0,99802464
322e7bfa-2989-4a3b-8bcd-8e4f3416f4f2,write_chunk,2,1933588.0,99947938
765def9a-976f-4724-b724-8fd3f6bf1d9b,write_chunk,2,1955804.0,97787860
18edb5f7-0761-4245-b0e5-d283b176d684,write_chunk,2,1963129.0,97751471
071a3085-80ca-4b1a-a35f-032155e05391,write_chunk,2,1936212.0,97766836
6baa6f0d-e14e-40db-90dd-e191d48c2f4e,write_chunk,2,1918207.0,96702778
2144fd32-9b50-427d-aee2-79a66e2e3821,write_chunk,2,1941645.0,96387066
9b685a51-0887-4ab9-ba8a-ae0e2207fa7e,write_chunk,2,2005001.0,98678059
effbbf2a-ea81-46d8-917d-030dc9325861,write_chunk,2,1974176.0,97375105
b1df6dca-a43d-4552-b5da-3ec04004a6a1,write_chunk,2,1967402.0,97091754
7f0be5d6-19e0-487e-a134-88f8a86cbe26,write_chunk,2,2009639.0,96875151
f8711099-309e-491e-ae29-2a7b3b2f5ace,write_chunk,2,1993894.0,98165352
ba5f37e3-126e-4821-9b6d-e32970ee9d0b,write_chunk,2,1982477.0,96409481
008a4ca9-fd0b-4d55-84e6-864a48dab437,write_chunk,2,1944882.0,96628505
2bd220a8-39ca-4b02-9e71-aeb6d1c54776,write_chunk,2,2036800.0,99497930
2da894c0-fab3-4f23-821e-aceb8e282bb6,write_chunk,2,1936763.0,96352882
ac9c4a01-b2ca-47a9-b53d-295b7847a3d7,write_chunk,2,1972773.0,96936077
1e165715-10c8-41d6-82fe-3bc773f1f4ed,write_chunk,2,2005366.0,97491269
c4f7ec27-7049-49fc-a830-b84888df5bee,write_chunk,2,1989984.0,97171641
a412e410-f2d8-4e6a-ab1c-feffdf4d3a50,write_chunk,2,1994318.0,96403771
2dd0b1d0-607b-41e0-88a0-9421a73cab23,write_chunk,2,2038264.0,97649794
f3b9382d-643f-474e-91a1-7e4bb908cb3b,write_chunk,2,2045465.0,98909221
103467f3-4ed9-4b13-89c9-7b62cf445981,write_chunk,2,2005245.0,98701712
8aa53cd9-878b-4795-b326-4f793ebb7e1f,write_chunk,2,2015925.0,99002071
59538320-8e18-4be9-be2b-2076bdbb6f16,write_chunk,2,1944514.0,95934152
1bf73180-6bb7-4ef2-abb5-586cfe589d7d,write_chunk,2,1962702.0,97493181
7cbdcc96-c681-4e70-8c71-2a5b6302baa4,write_chunk,2,2043512.0,102440247
40c69cde-6c96-4cf6-8fa7-7943f883c248,write_chunk,2,1981318.0,97528194
502290db-f315-4c77-b91a-714f854da920,write_chunk,2,1952815.0,96674367
0a431cca-669f-4870-8356-fb0807bd9040,write_chunk,2,1973871.0,97904210
0598123e-60f7-4ff8-994d-d85494e83885,write_chunk,2,1980037.0,95648515
a9e7a85d-5a9e-4049-aac2-01807dd37faa,write_chunk,2,1981197.0,96365592
6e9b4e34-44b4-446d-85a0-dcd6e5075659,write_chunk,2,1965815.0,96564105
f0eda08d-1c83-4b48-bcfe-00d75e203309,write_chunk,2,1966119.0,96174559
f91fd556-cb0d-4fd6-ad02-dd012331fc44,write_chunk,2,1948910.0,96787903
3b7a96fb-7f16-458f-8fef-5f362cfb4255,write_chunk,2,1978206.0,97218462
