run_uuid,func_name,call_count,total_energy_j,total_elapsed_ns
608a7f60-3bcd-40f0-8d93-51e82bbc49f4,sieve_task,6,199877905.0,5526835427
7bd158cf-1172-482b-810a-3742e64e31d0,sieve_task,6,200404698.0,5494081038
4a6aeafe-4876-4b34-979b-b7e56108523a,sieve_task,6,202991366.0,5586286450
521746e8-2c48-4bbc-bca6-f82944fddec1,sieve_task,6,199270547.0,5502176266
37f82af6-8732-4f77-9e30-2baf23810bc7,sieve_task,6,201036106.0,5603283859
16128a68-e923-4960-9a4d-854376c28f96,sieve_task,6,203461941.0,5578001733
7e152724-062a-47d6-a7cf-32d074d1f19d,sieve_task,6,206285727.0,5645296694
f6a6be25-2c24-4c53-8c1b-183738e775db,sieve_task,6,202564974.0,5544092566
b7914168-6d29-475f-aa8c-12cac7379be4,sieve_task,6,203897792.0,5535012414
88183e0f-4f36-4fa5-9a04-506e1071203f,sieve_task,6,196414292.0,5576665130
887c484b-ca42-4060-9aee-c1c755ddbae2,sieve_task,6,203631620.0,5578778526
26ad223b-43e2-4a2a-be7f-363e8e85ed38,sieve_task,6,207622576.0,6103536514
0e674cb2-48ab-439a-9675-33df99dc88e3,sieve_task,6,201488493.0,5655325884
7a834ab8-f111-4ca9-86e0-dba87a3dcdc2,sieve_task,6,202778292.0,5616755089
5894dc63-fba5-41d6-9c42-7f10fe0f1d24,sieve_task,6,203870145.0,5660551068
46bc85fa-a2b2-4cc6-bad3-820f51e66ed7,sieve_task,6,199652930.0,5666435218
ab5fc657-fe21-485b-b91c-4705a7c745dc,sieve_task,6,204197964.0,5621727806
1ce697ea-bb1e-4a55-b4b3-b1fb2c16b224,sieve_task,6,204359526.0,5665223661
0b5e8f31-afec-4d4d-9221-f407f07dff21,sieve_task,6,202240449.0,5601033782
5c45c530-f610-4f96-a011-641283831294,sieve_task,6,202075106.0,5603037895
ae9afe0c-c1e6-454c-927b-af7e224f09ea,sieve_task,6,203996670.0,5690164663
e223345d-a718-4fcf-a928-d6921554e4b5,sieve_task,6,204479640.0,5688200322
5992220b-cae0-4c8c-ae96-d7c7cb6bd7a8,sieve_task,6,202076019.0,5615951276
a638618a-8794-40d9-9707-5327848f3a4c,sieve_task,6,204030972.0,5650573927
757c8c09-3476-4b22-a0c1-78d1e637e2fe,sieve_task,6,203768095.0,5679831659
6045c74d-e299-46b8-8e61-69ffe965ce80,sieve_task,6,203784331.0,5666343439
98093f2a-c402-46f0-8891-5f3497ab52e2,sieve_task,6,204969812.0,5639880080
4a9d3c70-5745-4500-ab22-dbf29da2bada,sieve_task,6,200713721.0,5592864598
6349ad3c-3840-48db-bcba-166d703ef077,sieve_task,6,204082484.0,5585943471
922a2621-c4b7-4f66-84e4-6a5ae225c23d,sieve_task,6,202068513.0,5678595378
a06e98a1-0b14-4804-a769-52f08ab3f1ef,sieve_task,6,202538543.0,5612433951
2c365996-5def-4f69-8e57-eaef9df862f3,sieve_task,6,200397863.0,5649212209
3b6f4f7b-971c-41e0-a0ff-d64f62680967,sieve_task,6,206010396.0,5710945807
a8719c52-be26-4f3c-adca-4baba412c27e,sieve_task,6,199238933.0,5690972561
2090d53c-8e17-4a6f-a01d-1b0333c25917,sieve_task,6,202826875.0,5718498873
a78d8fa8-157e-425f-bab0-58db1b8d0cc6,sieve_task,6,203022124.0,5646812367
9cae6abd-adb4-4f87-ab16-9741a9883f05,sieve_task,6,200842744.0,5688162153
d137f5ac-0fb2-42c2-8b5d-a1980ffdb810,sieve_task,6,202481721.0,5673990992
01270142-ab5a-469d-85c5-213f396e75ce,sieve_task,6,197507673.0,5591450352
a2b948b7-b74b-4aad-be0e-81a91f4a5682,sieve_task,6,198772072.0,5581737396
63281eb3-b8c5-4aa4-af16-f10c53c15915,sieve_task,6,203158721.0,5671646965
e3cbc0e2-e65a-49a8-b2b9-66c4c1523c5e,sieve_task,6,200462622.0,5597224779
ae8d3d0d-7063-4c3a-aa83-24990669002d,sieve_task,6,202999480.0,5702124529
0419c890-46a2-4874-b566-1b969a6a17bd,sieve_task,6,203449306.0,5580248462
d93cea84-d84c-4655-aaa2-70be89c85cd8,sieve_task,6,202600374.0,5609559135
