energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,elapsed_s,net_uAh,rapl_J,vol_cs
306209970.0,15716589658,15.800000000001091,0.0400000000000062,0.1399999999998726,173.09999999997672,0.0500000000000113,0.0,0.009999999999998,0.0,0.0,0.0,131072,37,0,44,1,0,0,2,15.716589658,-4194.779007042001,306209970.0,37
298807097.0,15980488435,16.019999999998618,0.0,0.1100000000001273,175.6600000000035,0.0400000000000204,0.0,0.0,0.0,0.0,0.0,0,38,0,44,1,17000,0,1,15.980488435,12734.786052946685,298807097.0,38
295243629.0,15886611631,15.920000000000073,0.0099999999999909,0.0799999999999272,174.57000000000698,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,0,28,0,44,1,18000,0,0,15.886611631,13759.84189872726,295243629.0,28
299971522.0,15960472943,16.0,0.1999999999999886,0.1500000000000909,175.7399999999907,0.1000000000000227,0.0,0.0,0.0,0.0,0.0,131072,41,0,44,1,0,0,2,15.960472943,-4259.871785204959,299971522.0,41
297554903.0,15971920608,16.01000000000022,0.0,0.1099999999998999,175.57000000000698,0.0100000000000477,0.0,0.0,0.0,0.0,0.0,0,38,0,44,1,18000,0,1,15.971920608,13737.072817544962,297554903.0,38
303418047.0,16286144881,16.329999999999927,0.0,0.1000000000001364,179.03999999997905,0.0,0.0,0.0,0.0,0.0,0.0,0,39,0,44,1,17000,0,0,16.286144881,12653.205934680049,303418047.0,39
304481581.0,16041946340,16.079999999999927,0.2299999999999897,0.1299999999998817,176.54999999998836,0.0699999999999931,0.0,0.009999999999998,0.0,0.0,0.0,131072,42,0,44,1,0,0,2,16.04194634,-4281.6171449048,304481581.0,42
300246485.0,16185731011,16.269999999998618,0.0,0.1100000000001273,177.77999999999884,0.0300000000000295,0.0,0.0,0.0,0.0,0.0,0,29,0,44,1,18000,0,1,16.185731011,13680.006532205189,300246485.0,29
297392976.0,16148759314,16.220000000001164,0.0,0.1299999999998817,177.45999999999185,0.0200000000000386,0.0,0.0,0.0,0.0,0.0,0,37,0,44,1,18000,0,0,16.148759314,13689.874328069629,297392976.0,37
310972593.0,15838480686,15.899999999999636,0.2099999999999937,0.1599999999998544,174.2399999999907,0.079999999999984,0.0,0.0,0.0,0.0,0.0,131072,39,0,44,1,19000,0,3,15.838480686,14772.688112954931,310972593.0,39
303485246.0,15619001668,15.659999999999854,0.0,0.0900000000001455,171.75,0.0400000000000204,0.0,0.0,0.0,0.0,0.0,0,37,0,44,1,0,0,0,15.619001668,-4168.7326407055825,303485246.0,37
304585647.0,15752468894,15.789999999999054,0.0,0.0899999999999181,173.0899999999965,0.0,0.0,0.0,0.0,0.0,0.0,0,26,0,44,1,19000,0,0,15.752468894,14795.644776409972,304585647.0,26
307888189.0,15827365237,15.88000000000102,0.2099999999999937,0.1500000000000909,174.25,0.0999999999999659,0.0,0.0,0.0,0.0,0.0,131072,46,0,44,1,18000,0,3,15.827365237,13775.654841305906,307888189.0,46
300284083.0,15928977358,15.979999999999563,0.0,0.0899999999999181,175.13999999998487,0.0,0.0,0.0,0.0,0.0,0.0,0,38,0,44,1,0,0,0,15.928977358,-4251.465571029528,300284083.0,38
304996411.0,16409069800,16.44999999999891,0.0,0.1000000000001364,180.31999999997788,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,44,1,18000,0,0,16.4090698,13620.397107772675,304996411.0,28
298224334.0,16022635146,16.090000000000146,0.1800000000000068,0.1500000000000909,176.47000000000116,0.079999999999984,0.0,0.009999999999998,0.0,0.0,0.0,131072,41,0,44,1,19000,0,2,16.022635146,14723.53703885611,298224334.0,41
296964389.0,16034546344,16.100000000000364,0.0,0.1099999999998999,176.27999999999884,0.0299999999999727,0.0,0.0,0.0,0.0,0.0,0,40,0,44,1,0,0,0,16.034546344,-4279.642075977731,296964389.0,40
295933569.0,16159676448,16.200000000000728,0.0100000000000051,0.1000000000001364,177.63000000000466,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,0,43,0,44,1,17000,0,1,16.159676448,12686.960530260003,295933569.0,43
305066663.0,16045490087,16.079999999999927,0.2400000000000091,0.1300000000001091,176.6600000000035,0.1000000000000227,0.0,0.0,0.0,0.0,0.0,131072,41,0,44,1,18000,0,2,16.045490087,13717.437024234605,305066663.0,41
300711754.0,15933212267,15.960000000000946,0.0,0.0799999999999272,175.2399999999907,0.0,0.0,0.0,0.0,0.0,0.0,0,39,0,44,1,19000,0,0,15.933212267,14747.40412603857,300711754.0,39
302179219.0,15889642178,15.930000000000293,0.0,0.0899999999999181,174.77000000001863,0.0,0.0,0.0100000000000051,0.0,0.0,0.0,0,37,0,44,1,0,0,0,15.889642178,-4240.9669583601935,302179219.0,37
299259488.0,16150223519,16.19000000000051,0.2199999999999988,0.1399999999998726,177.79999999998836,0.1000000000000227,0.0,0.0,0.0,0.0,0.0,131072,42,1,44,1,18000,0,3,16.150223519,13689.483529777526,299259488.0,42
297215242.0,16061967038,16.1299999999992,0.0100000000000051,0.1000000000001364,176.4200000000128,0.0299999999999727,0.0,0.0,0.0,0.0,0.0,0,24,0,44,1,18000,0,1,16.061967038,13713.039303758414,297215242.0,24
