energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,battery_delta_uAh,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta,elapsed_s,net_uAh,rapl_J,vol_cs
304110244.0,15414577063,15.449999999999818,0.0600000000000022,0.1300000000001091,169.85999999998603,0.0699999999999931,0.0,0.0,0.0,0.0,0.0,131072,25,0,32,1,0,0,1,15.414577063,-4114.171437528762,304110244.0,25
307658880.0,15538711153,15.600000000000364,0.0,0.099999999999909,170.8399999999965,0.0099999999999909,0.0,0.0,0.0,0.0,0.0,0,26,0,32,1,17000,0,1,15.538711153,12852.69700619082,307658880.0,26
281317578.0,16558287259,16.63000000000011,0.0099999999999909,0.1300000000001091,181.9499999999825,0.0299999999999727,0.0,0.0,0.0,0.0,0.0,0,24,0,32,1,17000,0,0,16.558287259,12580.570766427765,281317578.0,24
309335634.0,15489506158,15.509999999999309,0.1799999999999926,0.1500000000000909,170.61000000001513,0.1100000000000136,0.0,0.0,0.0,0.0,0.0,131072,27,0,32,1,0,0,3,15.489506158,-4134.170114185862,309335634.0,27
309818543.0,15538898060,15.590000000000146,0.0,0.1099999999998999,170.85000000000582,0.0200000000000386,0.0,0.009999999999998,0.0,0.0,0.0,0,25,0,32,1,18000,0,1,15.53889806,13852.647120460078,309818543.0,25
309074282.0,15493929078,15.590000000000146,0.0,0.1100000000001273,170.25,0.0599999999999454,0.0,0.0,0.0,0.0,0.0,0,27,0,32,1,17000,0,0,15.493929078,12864.649402492403,309074282.0,27
302115803.0,16198369208,16.269999999999527,0.2399999999999948,0.1600000000000818,178.0899999999965,0.0800000000000409,0.0,0.0,0.0,0.0,0.0,131072,7,0,32,1,0,0,1,16.198369208,-4323.36661964366,302115803.0,7
308353946.0,15521802537,15.579999999999927,0.0,0.0799999999999272,170.6700000000128,0.0099999999999909,0.0,0.0100000000000051,0.0,0.0,0.0,0,21,0,32,1,18000,0,1,15.521802537,13857.20993863853,308353946.0,21
307146613.0,15464236796,15.520000000000437,0.0,0.0799999999999272,170.05999999999767,0.0300000000000295,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,18000,0,1,15.464236796,13872.574312661534,307146613.0,25
325011436.0,15423593614,15.470000000000256,0.2000000000000028,0.1099999999998999,169.92999999999302,0.0899999999999749,0.0,0.0,0.0,0.0,0.0,131072,25,0,32,1,0,0,1,15.423593614,-4116.5779671687005,325011436.0,25
314058218.0,16005515709,16.050000000000182,0.0,0.1100000000001273,175.89999999999418,0.0199999999999818,0.0,0.0,0.0,0.0,0.0,0,25,0,32,1,19000,0,1,16.005515709,14728.10623971346,314058218.0,25
